approach, id, model_name, tuning_time
TVM,0,inception_v3,1.0
TGC,0,inception_v3,1.0718194930374294
TVM-ES,0,inception_v3,0.3864893457952702
TGC-ES,0,inception_v3,0.3949995676886743
TVM,0,mobilenet_v2,1.0
TGC,0,mobilenet_v2,1.0655986864773321
TVM-ES,0,mobilenet_v2,0.4213273421740897
TGC-ES,0,mobilenet_v2,0.4835612580986034
TVM,0,googlenet,1.0
TGC,0,googlenet,0.8802705272297006
TVM-ES,0,googlenet,0.37707550821265245
TGC-ES,0,googlenet,0.33124198198006943
TVM,0,resnet_18,1.0
TGC,0,resnet_18,0.8750785365706276
TVM-ES,0,resnet_18,0.35073224224607175
TGC-ES,0,resnet_18,0.3433274877225049
TVM,0,resnext_50,1.0
TGC,0,resnext_50,0.9048273473991613
TVM-ES,0,resnext_50,0.3922928431229074
TGC-ES,0,resnext_50,0.3339322048114053
TVM,0,resnet_152,1.0
TGC,0,resnet_152,0.9017258210691653
TVM-ES,0,resnet_152,0.39656184386118626
TGC-ES,0,resnet_152,0.3576672884697601
TVM,0,densenet_121,1.0
TGC,0,densenet_121,1.0156229344489711
TVM-ES,0,densenet_121,0.3605095338665591
TGC-ES,0,densenet_121,0.3691282241647796
TVM,0,mobilenet_v3,1.0
TGC,0,mobilenet_v3,1.0998148476908178
TVM-ES,0,mobilenet_v3,0.48330826978880315
TGC-ES,0,mobilenet_v3,0.4326623158578804
TVM,0,resnet_50,1.0
TGC,0,resnet_50,0.9490953176141832
TVM-ES,0,resnet_50,0.36676517414237825
TGC-ES,0,resnet_50,0.3434538429712324
TVM,0,wide_resnet_50,1.0
TGC,0,wide_resnet_50,0.9108502922853502
TVM-ES,0,wide_resnet_50,0.376508489464216
TGC-ES,0,wide_resnet_50,0.3345817236515552
TVM,0,vgg_16,1.0
TGC,0,vgg_16,0.8907103494691052
TVM-ES,0,vgg_16,0.3791607507858838
TGC-ES,0,vgg_16,0.33669269156813086
TVM,0,alexnet,1.0
TGC,0,alexnet,0.9196575423171679
TVM-ES,0,alexnet,0.38220210141036615
TGC-ES,0,alexnet,0.35432143001471045
